Q ,Q ,Q ,4,4,FH
Q ,Q ,Q ,3,3,FH
Q ,Q ,Q ,2,2,FH
J ,J ,J ,A ,A   ,FH
J ,J ,J ,K ,K   ,FH
J ,J ,J ,Q ,Q   ,FH
J ,J ,J ,T ,T   ,FH
J ,J ,J ,9,9,FH
J ,J ,J ,8,8,FH
J ,J ,J ,7,7,FH
J ,J ,J ,6,6,FH
J ,J ,J ,5,5,FH
J ,J ,J ,4,4,FH
J ,J ,J ,3,3,FH
J ,J ,J ,2,2,FH
T ,T ,T ,A ,A   ,FH
T ,T ,T ,K ,K   ,FH
T ,T ,T ,Q ,Q   ,FH
T ,T ,T ,J ,J   ,FH
T ,T ,T ,9,9,FH
T ,T ,T ,8,8,FH
T ,T ,T ,7,7,FH
T ,T ,T ,6,6,FH
T ,T ,T ,5,5,FH
T ,T ,T ,4,4,FH
T ,T ,T ,3,3,FH
T ,T ,T ,2,2,FH
9,9,9,A ,A   ,FH
9,9,9,K ,K   ,FH
9,9,9,Q ,Q   ,FH
9,9,9,J ,J   ,FH
9,9,9,T ,T   ,FH
9,9,9,8,8,FH
9,9,9,7,7,FH
9,9,9,6,6,FH
9,9,9,5,5,FH
9,9,9,4,4,FH
9,9,9,3,3,FH
9,9,9,2,2,FH
8,8,8,A ,A   ,FH
8,8,8,K ,K   ,FH
8,8,8,Q ,Q   ,FH
8,8,8,J ,J   ,FH
8,8,8,T ,T   ,FH
8,8,8,9,9,FH
8,8,8,7,7,FH
8,8,8,6,6,FH
8,8,8,5,5,FH
8,8,8,4,4,FH
8,8,8,3,3,FH
8,8,8,2,2,FH
7,7,7,A ,A   ,FH
7,7,7,K ,K   ,FH
7,7,7,Q ,Q   ,FH
7,7,7,J ,J   ,FH
7,7,7,T ,T   ,FH
7,7,7,9,9,FH
7,7,7,8,8,FH
7,7,7,6,6,FH
7,7,7,5,5,FH
7,7,7,4,4,FH
7,7,7,3,3,FH
7,7,7,2,2,FH
6,6,6,A ,A   ,FH
6,6,6,K ,K   ,FH
6,6,6,Q ,Q   ,FH
6,6,6,J ,J   ,FH
6,6,6,T ,T   ,FH
6,6,6,9,9,FH
6,6,6,8,8,FH
6,6,6,7,7,FH
6,6,6,5,5,FH
6,6,6,4,4,FH
6,6,6,3,3,FH
6,6,6,2,2,FH
5,5,5,A ,A   ,FH
5,5,5,K ,K   ,FH
5,5,5,Q ,Q   ,FH
5,5,5,J ,J   ,FH
5,5,5,T ,T   ,FH
5,5,5,9,9,FH
5,5,5,8,8,FH
5,5,5,7,7,FH
5,5,5,6,6,FH
5,5,5,4,4,FH
5,5,5,3,3,FH
5,5,5,2,2,FH
4,4,4,A ,A   ,FH
4,4,4,K ,K   ,FH
4,4,4,Q ,Q   ,FH
4,4,4,J ,J   ,FH
4,4,4,T ,T   ,FH
4,4,4,9,9,FH
4,4,4,8,8,FH
4,4,4,7,7,FH
4,4,4,6,6,FH
4,4,4,5,5,FH
4,4,4,3,3,FH
4,4,4,2,2,FH
3,3,3,A ,A   ,FH
3,3,3,K ,K   ,FH
3,3,3,Q ,Q   ,FH
3,3,3,J ,J   ,FH
3,3,3,T ,T   ,FH
3,3,3,9,9,FH
3,3,3,8,8,FH
3,3,3,7,7,FH
3,3,3,6,6,FH
3,3,3,5,5,FH
3,3,3,4,4,FH
3,3,3,2,2,FH
2,2,2,A ,A   ,FH
2,2,2,K ,K   ,FH
2,2,2,Q ,Q   ,FH
2,2,2,J ,J   ,FH
2,2,2,T ,T   ,FH
2,2,2,9,9,FH
2,2,2,8,8,FH
2,2,2,7,7,FH
2,2,2,6,6,FH
2,2,2,5,5,FH
2,2,2,4,4,FH
2,2,2,3,3,FH
A ,K ,Q ,J ,9,F 
A ,K ,Q ,J ,8,F 
A ,K ,Q ,J ,7,F 
A ,K ,Q ,J ,6,F 
A ,K ,Q ,J ,5,F 
A ,K ,Q ,J ,4,F 
A ,K ,Q ,J ,3,F 
A ,K ,Q ,J ,2,F 
A ,K ,Q ,T ,9,F 
A ,K ,Q ,T ,8,F 
A ,K ,Q ,T ,7,F 
A ,K ,Q ,T ,6,F 
A ,K ,Q ,T ,5,F 
A ,K ,Q ,T ,4,F 
A ,K ,Q ,T ,3,F 
A ,K ,Q ,T ,2,F 
A ,K ,Q ,9,8,F 
A ,K ,Q ,9,7,F 
A ,K ,Q ,9,6,F 
A ,K ,Q ,9,5,F 
A ,K ,Q ,9,4,F 
A ,K ,Q ,9,3,F 
A ,K ,Q ,9,2,F 
A ,K ,Q ,8,7,F 
A ,K ,Q ,8,6,F 
A ,K ,Q ,8,5,F 
A ,K ,Q ,8,4,F 
A ,K ,Q ,8,3,F 
A ,K ,Q ,8,2,F 
A ,K ,Q ,7,6,F 
A ,K ,Q ,7,5,F 
A ,K ,Q ,7,4,F 
A ,K ,Q ,7,3,F 
A ,K ,Q ,7,2,F 
A ,K ,Q ,6,5,F 
A ,K ,Q ,6,4,F 
A ,K ,Q ,6,3,F 
A ,K ,Q ,6,2,F 
A ,K ,Q ,5,4,F 
A ,K ,Q ,5,3,F 
A ,K ,Q ,5,2,F 
A ,K ,Q ,4,3,F 
A ,K ,Q ,4,2,F 
A ,K ,Q ,3,2,F 
A ,K ,J ,T ,9,F 
A ,K ,J ,T ,8,F 
A ,K ,J ,T ,7,F 
A ,K ,J ,T ,6,F 
A ,K ,J ,T ,5,F 
A ,K ,J ,T ,4,F 
A ,K ,J ,T ,3,F 
A ,K ,J ,T ,2,F 
A ,K ,J ,9,8,F 
A ,K ,J ,9,7,F 
A ,K ,J ,9,6,F 
A ,K ,J ,9,5,F 
A ,K ,J ,9,4,F 
A ,K ,J ,9,3,F 
A ,K ,J ,9,2,F 
A ,K ,J ,8,7,F 
A ,K ,J ,8,6,F 
A ,K ,J ,8,5,F 
A ,K ,J ,8,4,F 
A ,K ,J ,8,3,F 
A ,K ,J ,8,2,F 
A ,K ,J ,7,6,F 
A ,K ,J ,7,5,F 
A ,K ,J ,7,4,F 
A ,K ,J ,7,3,F 
A ,K ,J ,7,2,F 
A ,K ,J ,6,5,F 
A ,K ,J ,6,4,F 
A ,K ,J ,6,3,F 
A ,K ,J ,6,2,F 
A ,K ,J ,5,4,F 
A ,K ,J ,5,3,F 
A ,K ,J ,5,2,F 
A ,K ,J ,4,3,F 
A ,K ,J ,4,2,F 
A ,K ,J ,3,2,F 
A ,K ,T ,9,8,F 
A ,K ,T ,9,7,F 
A ,K ,T ,9,6,F 
A ,K ,T ,9,5,F 
A ,K ,T ,9,4,F 
A ,K ,T ,9,3,F 
A ,K ,T ,9,2,F 
A ,K ,T ,8,7,F 
A ,K ,T ,8,6,F 
A ,K ,T ,8,5,F 
A ,K ,T ,8,4,F 
A ,K ,T ,8,3,F 
A ,K ,T ,8,2,F 
A ,K ,T ,7,6,F 
A ,K ,T ,7,5,F 
A ,K ,T ,7,4,F 
A ,K ,T ,7,3,F 
A ,K ,T ,7,2,F 
A ,K ,T ,6,5,F 
A ,K ,T ,6,4,F 
A ,K ,T ,6,3,F 
A ,K ,T ,6,2,F 
A ,K ,T ,5,4,F 
A ,K ,T ,5,3,F 
A ,K ,T ,5,2,F 
A ,K ,T ,4,3,F 
A ,K ,T ,4,2,F 
A ,K ,T ,3,2,F 
A ,K ,9,8,7,F 
A ,K ,9,8,6,F 
A ,K ,9,8,5,F 
A ,K ,9,8,4,F 
A ,K ,9,8,3,F 
A ,K ,9,8,2,F 
A ,K ,9,7,6,F 
A ,K ,9,7,5,F 
A ,K ,9,7,4,F 
A ,K ,9,7,3,F 
A ,K ,9,7,2,F 
A ,K ,9,6,5,F 
A ,K ,9,6,4,F 
A ,K ,9,6,3,F 
A ,K ,9,6,2,F 
A ,K ,9,5,4,F 
A ,K ,9,5,3,F 
A ,K ,9,5,2,F 
A ,K ,9,4,3,F 
A ,K ,9,4,2,F 
A ,K ,9,3,2,F 
A ,K ,8,7,6,F 
A ,K ,8,7,5,F 
A ,K ,8,7,4,F 
A ,K ,8,7,3,F 
A ,K ,8,7,2,F 
A ,K ,8,6,5,F 
A ,K ,8,6,4,F 
A ,K ,8,6,3,F 
A ,K ,8,6,2,F 
A ,K ,8,5,4,F 
A ,K ,8,5,3,F 
A ,K ,8,5,2,F 
A ,K ,8,4,3,F 
A ,K ,8,4,2,F 
A ,K ,8,3,2,F 
A ,K ,7,6,5,F 
A ,K ,7,6,4,F 
A ,K ,7,6,3,F 
A ,K ,7,6,2,F 
A ,K ,7,5,4,F 
A ,K ,7,5,3,F 
A ,K ,7,5,2,F 
A ,K ,7,4,3,F 
A ,K ,7,4,2,F 
A ,K ,7,3,2,F 
A ,K ,6,5,4,F 
A ,K ,6,5,3,F 
A ,K ,6,5,2,F 
A ,K ,6,4,3,F 
A ,K ,6,4,2,F 
A ,K ,6,3,2,F 
A ,K ,5,4,3,F 
A ,K ,5,4,2,F 
A ,K ,5,3,2,F 
A ,K ,4,3,2,F 
A ,Q ,J ,T ,9,F 
A ,Q ,J ,T ,8,F 
A ,Q ,J ,T ,7,F 
A ,Q ,J ,T ,6,F 
A ,Q ,J ,T ,5,F 
A ,Q ,J ,T ,4,F 
A ,Q ,J ,T ,3,F 
A ,Q ,J ,T ,2,F 
A ,Q ,J ,9,8,F 
A ,Q ,J ,9,7,F 
A ,Q ,J ,9,6,F 
A ,Q ,J ,9,5,F 
A ,Q ,J ,9,4,F 
A ,Q ,J ,9,3,F 
A ,Q ,J ,9,2,F 
A ,Q ,J ,8,7,F 
A ,Q ,J ,8,6,F 
A ,Q ,J ,8,5,F 
A ,Q ,J ,8,4,F 
A ,Q ,J ,8,3,F 
A ,Q ,J ,8,2,F 
A ,Q ,J ,7,6,F 
A ,Q ,J ,7,5,F 
A ,Q ,J ,7,4,F 
A ,Q ,J ,7,3,F 
A ,Q ,J ,7,2,F 
A ,Q ,J ,6,5,F 
A ,Q ,J ,6,4,F 
A ,Q ,J ,6,3,F 
A ,Q ,J ,6,2,F 
A ,Q ,J ,5,4,F 
A ,Q ,J ,5,3,F 
A ,Q ,J ,5,2,F 
A ,Q ,J ,4,3,F 
A ,Q ,J ,4,2,F 
A ,Q ,J ,3,2,F 
A ,Q ,T ,9,8,F 
A ,Q ,T ,9,7,F 
A ,Q ,T ,9,6,F 
A ,Q ,T ,9,5,F 
A ,Q ,T ,9,4,F 
A ,Q ,T ,9,3,F 
A ,Q ,T ,9,2,F 
A ,Q ,T ,8,7,F 
A ,Q ,T ,8,6,F 
A ,Q ,T ,8,5,F 
A ,Q ,T ,8,4,F 
A ,Q ,T ,8,3,F 
A ,Q ,T ,8,2,F 
A ,Q ,T ,7,6,F 
A ,Q ,T ,7,5,F 
A ,Q ,T ,7,4,F 
A ,Q ,T ,7,3,F 
A ,Q ,T ,7,2,F 
A ,Q ,T ,6,5,F 
A ,Q ,T ,6,4,F 
A ,Q ,T ,6,3,F 
A ,Q ,T ,6,2,F 
A ,Q ,T ,5,4,F 
A ,Q ,T ,5,3,F 
A ,Q ,T ,5,2,F 
A ,Q ,T ,4,3,F 
A ,Q ,T ,4,2,F 
A ,Q ,T ,3,2,F 
A ,Q ,9,8,7,F 
A ,Q ,9,8,6,F 
A ,Q ,9,8,5,F 
A ,Q ,9,8,4,F 
A ,Q ,9,8,3,F 
A ,Q ,9,8,2,F 
A ,Q ,9,7,6,F 
A ,Q ,9,7,5,F 
A ,Q ,9,7,4,F 
A ,Q ,9,7,3,F 
A ,Q ,9,7,2,F 
A ,Q ,9,6,5,F 
A ,Q ,9,6,4,F 
A ,Q ,9,6,3,F 
A ,Q ,9,6,2,F 
A ,Q ,9,5,4,F 
A ,Q ,9,5,3,F 
A ,Q ,9,5,2,F 
A ,Q ,9,4,3,F 
A ,Q ,9,4,2,F 
A ,Q ,9,3,2,F 
A ,Q ,8,7,6,F 
A ,Q ,8,7,5,F 
A ,Q ,8,7,4,F 
A ,Q ,8,7,3,F 
A ,Q ,8,7,2,F 
A ,Q ,8,6,5,F 
A ,Q ,8,6,4,F 
A ,Q ,8,6,3,F 
A ,Q ,8,6,2,F 
A ,Q ,8,5,4,F 
A ,Q ,8,5,3,F 
A ,Q ,8,5,2,F 
A ,Q ,8,4,3,F 
A ,Q ,8,4,2,F 
A ,Q ,8,3,2,F 
A ,Q ,7,6,5,F 
A ,Q ,7,6,4,F 
A ,Q ,7,6,3,F 
A ,Q ,7,6,2,F 
A ,Q ,7,5,4,F 
A ,Q ,7,5,3,F 
A ,Q ,7,5,2,F 
A ,Q ,7,4,3,F 
A ,Q ,7,4,2,F 
A ,Q ,7,3,2,F 
A ,Q ,6,5,4,F 
A ,Q ,6,5,3,F 
A ,Q ,6,5,2,F 
A ,Q ,6,4,3,F 
A ,Q ,6,4,2,F 
A ,Q ,6,3,2,F 
A ,Q ,5,4,3,F 
A ,Q ,5,4,2,F 
A ,Q ,5,3,2,F 
A ,Q ,4,3,2,F 
A ,J ,T ,9,8,F 
A ,J ,T ,9,7,F 
A ,J ,T ,9,6,F 
A ,J ,T ,9,5,F 
A ,J ,T ,9,4,F 
A ,J ,T ,9,3,F 
A ,J ,T ,9,2,F 
A ,J ,T ,8,7,F 
A ,J ,T ,8,6,F 
A ,J ,T ,8,5,F 
A ,J ,T ,8,4,F 
A ,J ,T ,8,3,F 
A ,J ,T ,8,2,F 
A ,J ,T ,7,6,F 
A ,J ,T ,7,5,F 
A ,J ,T ,7,4,F 
A ,J ,T ,7,3,F 
A ,J ,T ,7,2,F 
A ,J ,T ,6,5,F 
A ,J ,T ,6,4,F 
A ,J ,T ,6,3,F 
A ,J ,T ,6,2,F 
A ,J ,T ,5,4,F 
A ,J ,T ,5,3,F 
A ,J ,T ,5,2,F 
A ,J ,T ,4,3,F 
A ,J ,T ,4,2,F 
A ,J ,T ,3,2,F 
A ,J ,9,8,7,F 
A ,J ,9,8,6,F 
A ,J ,9,8,5,F 
A ,J ,9,8,4,F 
A ,J ,9,8,3,F 
A ,J ,9,8,2,F 
A ,J ,9,7,6,F 
A ,J ,9,7,5,F 
A ,J ,9,7,4,F 
A ,J ,9,7,3,F 
A ,J ,9,7,2,F 
A ,J ,9,6,5,F 
A ,J ,9,6,4,F 
A ,J ,9,6,3,F 
A ,J ,9,6,2,F 
A ,J ,9,5,4,F 
A ,J ,9,5,3,F 
A ,J ,9,5,2,F 
A ,J ,9,4,3,F 
A ,J ,9,4,2,F 
A ,J ,9,3,2,F 
A ,J ,8,7,6,F 
A ,J ,8,7,5,F 
A ,J ,8,7,4,F 
A ,J ,8,7,3,F 
A ,J ,8,7,2,F 
A ,J ,8,6,5,F 
A ,J ,8,6,4,F 
